# k (h_fid/Mpc) | Pk_{ell=0,2,4} (Mpc/h_fid)^3
1.500000e-02	7.571739e+04	4.436847e+04	6.652440e+03
2.500000e-02	6.840117e+04	2.653431e+04	-8.117403e+03
3.500000e-02	5.139845e+04	2.042418e+04	-2.225365e+03
4.500000e-02	4.227769e+04	1.764876e+04	-3.040856e+03
5.500000e-02	3.544229e+04	1.409424e+04	7.977531e+02
6.500000e-02	3.081512e+04	1.242282e+04	-5.385685e+02
7.500000e-02	2.747755e+04	1.059864e+04	4.113497e+02
8.500000e-02	2.300692e+04	9.667560e+03	1.612358e+02
9.500000e-02	1.924668e+04	7.888387e+03	-2.640214e+02
1.050000e-01	1.653476e+04	7.102352e+03	-8.948412e+02
1.150000e-01	1.489464e+04	6.579800e+03	1.217132e+03
1.250000e-01	1.378391e+04	5.265519e+03	1.436353e+02
1.350000e-01	1.256051e+04	4.876189e+03	6.831165e+02
1.450000e-01	1.130540e+04	4.346582e+03	5.366822e+02
1.550000e-01	1.001085e+04	4.307337e+03	3.020733e+02
1.650000e-01	9.129482e+03	3.654247e+03	4.781866e+01
1.750000e-01	8.339809e+03	3.480686e+03	5.648752e+01
1.850000e-01	7.838340e+03	3.282035e+03	3.629647e+02
1.950000e-01	7.354490e+03	2.994242e+03	4.493969e+02
