# k (h_fid/Mpc) | Pk (Mpc/h_fid)^3
1.500000e-02	5.935798e+04
2.500000e-02	5.457395e+04
3.500000e-02	4.103124e+04
4.500000e-02	3.377450e+04
5.500000e-02	2.844311e+04
6.500000e-02	2.474652e+04
7.500000e-02	2.221647e+04
8.500000e-02	1.855762e+04
9.500000e-02	1.543365e+04
1.050000e-01	1.324280e+04
1.150000e-01	1.192219e+04
1.250000e-01	1.115007e+04
1.350000e-01	1.021223e+04
1.450000e-01	9.164777e+03
1.550000e-01	8.037740e+03
1.650000e-01	7.351182e+03
1.750000e-01	6.714436e+03
1.850000e-01	6.337655e+03
1.950000e-01	5.999322e+03
