# k (h_fid/Mpc) | (Pk | err_Pk) (Mpc/h_fid)^3
1.500000e-02	2.476199e+04	1.177044e+03
2.500000e-02	2.210670e+04	4.819190e+02
3.500000e-02	1.735296e+04	2.637032e+02
4.500000e-02	1.356951e+04	2.148589e+02
5.500000e-02	1.157673e+04	1.256587e+02
6.500000e-02	1.030882e+04	1.213653e+02
7.500000e-02	9.216696e+03	7.729478e+01
8.500000e-02	7.607128e+03	5.343913e+01
9.500000e-02	6.246952e+03	5.066094e+01
1.050000e-01	5.367475e+03	4.005533e+01
1.150000e-01	4.879926e+03	3.127192e+01
1.250000e-01	4.454124e+03	2.682136e+01
1.350000e-01	4.100487e+03	1.955129e+01
1.450000e-01	3.659115e+03	1.375766e+01
1.550000e-01	3.215450e+03	1.741393e+01
1.650000e-01	2.856191e+03	1.544247e+01
1.750000e-01	2.612848e+03	1.257457e+01
1.850000e-01	2.462453e+03	8.455082e+00
1.950000e-01	2.333734e+03	1.002428e+01
