# k (h_fid/Mpc) | Pk (Mpc/h_fid)^3
1.500000e-02	2.349741e+04
2.500000e-02	2.266502e+04
3.500000e-02	1.801793e+04
4.500000e-02	1.450911e+04
5.500000e-02	1.206430e+04
6.500000e-02	1.066020e+04
7.500000e-02	9.443615e+03
8.500000e-02	7.874723e+03
9.500000e-02	6.484381e+03
1.050000e-01	5.513408e+03
1.150000e-01	5.003465e+03
1.250000e-01	4.574249e+03
1.350000e-01	4.252132e+03
1.450000e-01	3.772001e+03
1.550000e-01	3.290564e+03
1.650000e-01	2.938886e+03
1.750000e-01	2.711121e+03
1.850000e-01	2.548773e+03
1.950000e-01	2.401029e+03
