# s (Mpc/h_fid) | ( xi|err_xi )_{ell=0,2,4}
6.600000e+01	4.253605e-03	3.451725e-04	-1.272730e-02	6.181795e-04	2.227490e-03	5.791876e-04
6.800000e+01	3.634572e-03	3.317283e-04	-1.225821e-02	6.257517e-04	2.075145e-03	5.378255e-04
7.000000e+01	3.024005e-03	3.189435e-04	-1.170571e-02	6.365997e-04	1.728503e-03	5.013508e-04
7.200000e+01	2.590178e-03	2.896863e-04	-1.095584e-02	6.029386e-04	1.891844e-03	5.655716e-04
7.400000e+01	2.059558e-03	2.822550e-04	-1.035151e-02	5.923647e-04	2.254965e-03	5.358081e-04
7.600000e+01	1.839785e-03	2.618811e-04	-9.625870e-03	5.683658e-04	2.193846e-03	6.026448e-04
7.800000e+01	1.523181e-03	2.772871e-04	-9.009385e-03	5.757945e-04	1.851626e-03	6.332802e-04
8.000000e+01	1.283444e-03	2.471673e-04	-8.455087e-03	5.652016e-04	2.119905e-03	6.090118e-04
8.200000e+01	1.192897e-03	2.596473e-04	-7.847414e-03	5.611906e-04	2.010868e-03	6.464901e-04
8.400000e+01	1.197943e-03	2.284515e-04	-7.510633e-03	5.355111e-04	2.120549e-03	5.861530e-04
8.600000e+01	1.243534e-03	2.286140e-04	-6.951054e-03	5.141871e-04	2.038759e-03	5.996005e-04
8.800000e+01	1.314688e-03	2.297385e-04	-6.238841e-03	4.973635e-04	1.766832e-03	5.517697e-04
9.000000e+01	1.394430e-03	2.409112e-04	-5.645108e-03	4.652424e-04	1.618233e-03	5.125002e-04
9.200000e+01	1.531512e-03	2.326098e-04	-5.273991e-03	4.271068e-04	1.314653e-03	4.761368e-04
9.400000e+01	1.684884e-03	2.209725e-04	-5.039839e-03	4.254500e-04	8.485007e-04	4.855349e-04
9.600000e+01	1.719649e-03	2.089266e-04	-4.799354e-03	4.607679e-04	1.355265e-03	4.767394e-04
9.800000e+01	1.872692e-03	2.317803e-04	-4.456127e-03	4.583493e-04	1.242217e-03	4.391490e-04
1.000000e+02	1.916508e-03	2.280755e-04	-4.125175e-03	4.351367e-04	8.988508e-04	4.124539e-04
1.020000e+02	1.804995e-03	2.108491e-04	-3.870241e-03	4.206734e-04	5.821078e-04	4.210818e-04
1.040000e+02	1.770011e-03	2.078795e-04	-3.549581e-03	4.381109e-04	7.092130e-04	4.188960e-04
1.060000e+02	1.645838e-03	2.081242e-04	-3.107294e-03	3.964792e-04	3.139253e-04	3.843372e-04
1.080000e+02	1.524425e-03	1.998922e-04	-2.855314e-03	3.950801e-04	2.094628e-04	4.007508e-04
1.100000e+02	1.327239e-03	1.890002e-04	-2.818710e-03	4.522096e-04	4.341770e-05	4.018625e-04
1.120000e+02	1.010571e-03	2.005891e-04	-2.651294e-03	4.326654e-04	-1.769222e-05	3.678040e-04
1.140000e+02	8.241566e-04	2.050564e-04	-2.434791e-03	4.409462e-04	-2.428597e-04	3.429876e-04
1.160000e+02	5.274611e-04	2.193503e-04	-2.376398e-03	4.050059e-04	-4.986013e-04	3.802176e-04
1.180000e+02	3.778051e-04	1.881538e-04	-2.300934e-03	4.134280e-04	-2.781211e-04	3.941727e-04
1.200000e+02	1.448010e-04	1.769789e-04	-2.513798e-03	4.593728e-04	-2.104951e-04	3.488998e-04
1.220000e+02	5.937290e-05	1.839765e-04	-2.331189e-03	4.609661e-04	-4.896003e-05	3.511328e-04
1.240000e+02	-4.389428e-05	1.632464e-04	-2.278984e-03	4.372664e-04	-7.848172e-05	3.744150e-04
