# k (h_fid/Mpc) | Pk_{ell=0,2,4} (Mpc/h_fid)^3
1.500000e-02	3.345256e+04	2.130352e+04	3.507529e+03
2.500000e-02	3.062346e+04	1.587624e+04	-5.472381e+02
3.500000e-02	2.482112e+04	1.402696e+04	1.352478e+03
4.500000e-02	1.910072e+04	1.026076e+04	-3.124760e+02
5.500000e-02	1.636085e+04	8.038679e+03	8.209441e+00
6.500000e-02	1.475176e+04	8.323459e+03	8.947775e+02
7.500000e-02	1.260848e+04	6.739624e+03	9.956781e+02
8.500000e-02	1.046819e+04	5.194197e+03	2.308569e+02
9.500000e-02	8.776930e+03	4.970726e+03	7.071324e+02
1.050000e-01	7.399901e+03	3.976497e+03	1.944714e+02
1.150000e-01	6.628655e+03	3.568981e+03	4.696192e+02
1.250000e-01	6.183485e+03	3.266520e+03	1.679810e+02
1.350000e-01	5.588689e+03	2.907019e+03	9.237622e+01
1.450000e-01	5.028791e+03	2.684626e+03	1.740532e+02
1.550000e-01	4.385739e+03	2.396663e+03	1.707025e+02
1.650000e-01	3.980406e+03	2.158875e+03	2.567750e+02
1.750000e-01	3.616931e+03	1.909333e+03	1.306643e+02
1.850000e-01	3.389244e+03	1.738033e+03	2.028245e+02
1.950000e-01	3.169577e+03	1.606906e+03	2.228188e+02
