# k (h/Mpc) | (Pk | err_Pk) (Mpc/h)^3
1.500000e-02	5.935798e+04	1.068882e+03
2.500000e-02	5.457395e+04	7.589664e+02
3.500000e-02	4.103124e+04	7.140278e+02
4.500000e-02	3.377450e+04	5.028145e+02
5.500000e-02	2.844311e+04	7.860577e+01
6.500000e-02	2.474652e+04	2.374260e+02
7.500000e-02	2.221647e+04	8.153460e+01
8.500000e-02	1.855762e+04	1.072321e+02
9.500000e-02	1.543365e+04	7.639196e+01
1.050000e-01	1.324280e+04	1.207965e+02
1.150000e-01	1.192219e+04	1.157452e+02
1.250000e-01	1.115007e+04	8.059729e+01
1.350000e-01	1.021223e+04	7.705693e+01
1.450000e-01	9.164777e+03	1.698620e+01
1.550000e-01	8.037740e+03	3.873328e+01
1.650000e-01	7.351182e+03	3.526590e+01
1.750000e-01	6.714436e+03	1.863168e+01
1.850000e-01	6.337655e+03	2.664241e+01
1.950000e-01	5.999322e+03	2.187980e+01
