# k (h_fid/Mpc) | Pk (Mpc/h_fid)^3
1.500000e-02	5.997441e+04
2.500000e-02	5.304001e+04
3.500000e-02	4.238393e+04
4.500000e-02	3.312377e+04
5.500000e-02	2.854839e+04
6.500000e-02	2.534260e+04
7.500000e-02	2.215086e+04
8.500000e-02	1.870006e+04
9.500000e-02	1.538055e+04
1.050000e-01	1.309632e+04
1.150000e-01	1.199235e+04
1.250000e-01	1.120704e+04
1.350000e-01	1.018658e+04
1.450000e-01	9.214835e+03
1.550000e-01	8.009901e+03
1.650000e-01	7.234395e+03
1.750000e-01	6.763848e+03
1.850000e-01	6.320726e+03
1.950000e-01	5.958809e+03
