# k (h_fid/Mpc) | Pk_{ell=0,2,4} (Mpc/h_fid)^3
1.500000e-02	7.050358e+04	2.919565e+04	1.742451e+02
2.500000e-02	6.509851e+04	2.791214e+04	-7.565087e+03
3.500000e-02	5.242824e+04	1.559143e+04	1.025181e+03
4.500000e-02	4.258358e+04	1.579483e+04	-1.289872e+03
5.500000e-02	3.542926e+04	1.487999e+04	4.571633e+03
6.500000e-02	3.111807e+04	1.231504e+04	-2.586443e+02
7.500000e-02	2.736873e+04	1.110767e+04	-5.429954e+02
8.500000e-02	2.271094e+04	9.179611e+03	1.031489e+03
9.500000e-02	1.921869e+04	8.303838e+03	4.779281e+02
1.050000e-01	1.626394e+04	7.168783e+03	4.494315e+02
1.150000e-01	1.500805e+04	6.463852e+03	1.712663e+02
1.250000e-01	1.371406e+04	5.948688e+03	5.893011e+02
1.350000e-01	1.267656e+04	5.462014e+03	2.614816e+02
1.450000e-01	1.129063e+04	4.528593e+03	3.600840e+02
1.550000e-01	1.003562e+04	4.362962e+03	6.430290e+02
1.650000e-01	9.064835e+03	3.793261e+03	5.538401e+02
1.750000e-01	8.296648e+03	3.514377e+03	6.478272e+02
1.850000e-01	7.828027e+03	3.176889e+03	4.002616e+02
1.950000e-01	7.202290e+03	2.928281e+03	3.624858e+02
