# r (Mpc/h_fid) | xi
6.600000e+01	6.740345e-03
6.800000e+01	5.972514e-03
7.000000e+01	5.056918e-03
7.200000e+01	4.194707e-03
7.400000e+01	3.512345e-03
7.600000e+01	3.281127e-03
7.800000e+01	2.856859e-03
8.000000e+01	2.704741e-03
8.200000e+01	2.244233e-03
8.400000e+01	2.249911e-03
8.600000e+01	2.240681e-03
8.800000e+01	2.403339e-03
9.000000e+01	2.681960e-03
9.200000e+01	2.735589e-03
9.400000e+01	2.768742e-03
9.600000e+01	3.032289e-03
9.800000e+01	3.453848e-03
1.000000e+02	3.604650e-03
1.020000e+02	3.671910e-03
1.040000e+02	3.192644e-03
1.060000e+02	2.681843e-03
1.080000e+02	2.447624e-03
1.100000e+02	2.088462e-03
1.120000e+02	1.643460e-03
1.140000e+02	1.177553e-03
1.160000e+02	8.612299e-04
1.180000e+02	3.115481e-04
1.200000e+02	-4.805418e-07
1.220000e+02	-8.697654e-05
1.240000e+02	-4.039136e-04
