# k (h/Mpc) | ( Pk|err_Pk )_{ell=0,2,4} (Mpc/h)^3
1.500000e-02	7.464974e+04	9.541011e+02	3.724249e+04	3.157403e+03	3.870308e+03	5.790613e+02
2.500000e-02	6.706583e+04	6.845410e+02	2.648174e+04	1.142197e+03	-5.287098e+03	2.484028e+03
3.500000e-02	5.259009e+04	6.275418e+02	2.133921e+04	6.054752e+02	1.509105e+03	2.172501e+03
4.500000e-02	4.128046e+04	4.827490e+02	1.657456e+04	6.037270e+02	-7.129912e+01	2.134704e+03
5.500000e-02	3.527717e+04	8.679828e+01	1.414298e+04	1.201201e+03	1.584031e+03	1.006566e+03
6.500000e-02	3.115955e+04	1.925495e+02	1.241238e+04	8.128244e+01	-9.157422e+01	9.488742e+02
7.500000e-02	2.747668e+04	6.194738e+01	1.093474e+04	2.550505e+02	1.177652e+03	4.317666e+02
8.500000e-02	2.287496e+04	1.142699e+02	8.594326e+03	5.170913e+02	1.228308e+02	2.808909e+01
9.500000e-02	1.914890e+04	7.201446e+01	8.048622e+03	1.082593e+02	4.177488e+02	3.644607e+02
1.050000e-01	1.644163e+04	1.048416e+02	6.756802e+03	2.031292e+02	7.347305e+01	4.627382e+02
1.150000e-01	1.487736e+04	9.851632e+01	6.388224e+03	7.766347e+01	9.342972e+02	2.922677e+02
1.250000e-01	1.364467e+04	6.582697e+01	5.473099e+03	1.492539e+02	3.845762e+02	2.464143e+02
1.350000e-01	1.256305e+04	5.971109e+01	5.003669e+03	8.882645e+01	5.159641e+02	1.289043e+02
1.450000e-01	1.133063e+04	3.156561e+01	4.498136e+03	8.142835e+01	3.020027e+02	1.084314e+02
1.550000e-01	1.001339e+04	1.553829e+01	4.335034e+03	6.781732e+01	5.746897e+02	1.552481e+02
1.650000e-01	9.079305e+03	2.643751e+01	3.763219e+03	5.435592e+01	1.735038e+02	1.168043e+02
1.750000e-01	8.301065e+03	2.307192e+01	3.462403e+03	3.984517e+01	3.925961e+02	1.615344e+02
1.850000e-01	7.845439e+03	1.068651e+01	3.244725e+03	5.512323e+01	4.607475e+02	6.156918e+01
1.950000e-01	7.338059e+03	8.192800e+00	2.994865e+03	1.731147e+01	5.174821e+02	1.300525e+01
