# k (h/Mpc) | ( Pk|err_Pk )_{ell=0,2,4} (Mpc/h)^3
1.500000e-02	7.344744e+04	3.367669e+04	1.182617e+03
2.500000e-02	6.674962e+04	2.703006e+04	-3.779875e+02
3.500000e-02	5.368391e+04	2.173293e+04	3.668275e+03
4.500000e-02	4.094030e+04	1.573313e+04	-1.514132e+03
5.500000e-02	3.497172e+04	1.189197e+04	2.286561e+02
6.500000e-02	3.103676e+04	1.200922e+04	1.575482e+03
7.500000e-02	2.686400e+04	1.007960e+04	1.670540e+03
8.500000e-02	2.225993e+04	7.470904e+03	-1.650777e+02
9.500000e-02	1.866506e+04	7.792981e+03	9.894262e+02
1.050000e-01	1.594859e+04	5.881822e+03	3.527595e+02
1.150000e-01	1.425917e+04	5.856957e+03	4.279004e+02
1.250000e-01	1.312582e+04	4.895838e+03	-5.451167e+01
1.350000e-01	1.197202e+04	4.614949e+03	3.076597e+02
1.450000e-01	1.073865e+04	4.004011e+03	1.044331e+02
1.550000e-01	9.549474e+03	3.973210e+03	3.995070e+02
1.650000e-01	8.653620e+03	3.384096e+03	3.516315e+02
1.750000e-01	7.873215e+03	3.109599e+03	2.771502e+02
1.850000e-01	7.374905e+03	2.774369e+03	4.664254e+02
1.950000e-01	6.883351e+03	2.559118e+03	3.703663e+02
