# k (h/Mpc) | (Pk | err_Pk) (Mpc/h)^3
1.500000e-02	6.130904e+04
2.500000e-02	5.410397e+04
3.500000e-02	4.282368e+04
4.500000e-02	3.261331e+04
5.500000e-02	2.821956e+04
6.500000e-02	2.505410e+04
7.500000e-02	2.232116e+04
8.500000e-02	1.840876e+04
9.500000e-02	1.507337e+04
1.050000e-01	1.304476e+04
1.150000e-01	1.188701e+04
1.250000e-01	1.074965e+04
1.350000e-01	9.957197e+03
1.450000e-01	8.877835e+03
1.550000e-01	7.831424e+03
1.650000e-01	7.066217e+03
1.750000e-01	6.455502e+03
1.850000e-01	6.105921e+03
1.950000e-01	5.742064e+03
